id,image_url,query,answers
train_28,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_28.jpg,Which base paper will be coated in-house with various levels of mono potassium phosphate and malonic acid in order to optimize the system?,"['091', 'The 091 Base paper']"
train_29,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_29.jpg,which cigarette would be better if offered on a thicker cigarette,"['low smoke cigarette', 'These smokers said that a low smoke cigarette would be better if offered on a thicker cigarette', 'low smoke']"
train_30,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_30.jpg,Hand sheets were made utilizing a 30% level of which component?,"['high surface area magnesium carbonate semihydrate made by the pyrolysis of magnesium ammonium carbonate', 'a high surface area magnesium carbonate semihydrate made by the pyrolysis of magesium ammonium carbonate', 'a high surface area magnesium carbonate semihydrate']"
train_31,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_31.jpg,How much percent had not noticed any difference in the odor of VSSS,"['Over Fifty percent', 'over fifty percent']"
train_32,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_32.jpg,who were bothered by cigarette odors,"['Nonsmokers', 'nonsmokers', 'Nonsmokers were bothered by cigarette odors']"
train_33,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_33.jpg,What is the cigarette code of RIP-6(W/O Filter) 21/4SE,['P4049-99(5C)']
train_34,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_34.jpg,What is the subject?,"['reduced ignition propensity/498', 'Reduced Ignition Propensity/498']"
train_35,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_35.jpg,What is the meeting date?,"['January 24, 1994', 'January 24 , 1994']"
train_36,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_36.jpg,How many one-on-one  interviews were completed during April 10th through the April 12th?,['forty']
train_37,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_37.jpg,"According to the listed requirements , what must be the age group of female smokers?",['between the ages of 18 and 55']
train_38,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_38.jpg,According to the requirements what is the minimum required consumption of a regular brand?,['1/2 pack']
train_39,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_39.jpg,How many focus groups were held?,['Two']
train_40,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_40.jpg,"Which interviews covered the same topics, except packaging, that were discussed in groups?","['The one-on-one', 'The one-on-one interviews', 'one-on-one interviews']"
train_41,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_41.jpg,What is the Best Prototype mentioned?,['327391']
train_42,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_42.jpg,What is the LBS AT TARGET of TOTAL STRIPS?,"['10,000.0 @ 15.0 %']"
train_43,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_43.jpg,What is the SOLID LBS of T2F GRADE?,"['510.0', '510']"
train_44,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_44.jpg,To whom is this letter addressed?,['mr. roger jennings']
train_45,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_45.jpg,What is the subject of the letter?,"['effect of chemical stimulation on the perception of draw', 'Effect of Chemical Stimulation on the Perception of Draw']"
train_46,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_46.jpg,When did the Human Research Committee meet to consider the proposal?,"['November 27, 1990']"
train_47,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_47.jpg,For what does the Bristol tippings have high ink weights for?,"['Cork-on-white tipping', 'cork-on-white tipping']"
train_48,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_48.jpg,"When the cigarette was smoked into the filter, what had 5% flare-up while the low silicate ink tipping had 1% flare-up?","['the standard Ink tipping', 'standard ink tipping']"
train_49,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_49.jpg,Which inks give significantly lower filter flare-up rates?,['low silicate inks']
train_50,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_50.jpg,What is the 10 digits number written bold on the paper?,['2022155810']
train_51,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_51.jpg,What is the name of the tobacco company?,"['RJ Reynolds', 'RJREYNOLDS tobacco company', 'R J Reynolds', 'R J Reynolds tobacco company', 'RJ REYNOLDS']"
train_52,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_52.jpg,who is this Interoffice Memorandum addressed to?,['J. D. Phillips']
train_53,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_53.jpg,What is the date mentioned?,"['June 18, 1992']"
train_54,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_54.jpg,What is the name of the company?,['B&W']
train_55,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_55.jpg,What is the share of the 21-25 segment mentioned?,['0%']
train_56,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_56.jpg,What is the index value for Retention of Franchise ?,"['(100)', '100']"
train_57,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_57.jpg,What is the subject of the email?,['TAR/NICOTINE DELIVERIES']
train_58,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_58.jpg,"What is the name of the person in the ""FROM"" field?",['J. T. WINEBRENNER']
train_59,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_59.jpg,What is the 9 digits number mentioned in bold?,['584100575']
train_60,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_60.jpg,Cig. Code 498062 and B&W 6SE  is mentioned in which RIP?,['RIP-4']
train_61,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_61.jpg,What is the title of the document?,['KOOL ULTRA KS / 100']
train_62,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_62.jpg,Which is more superior out of Ultra KS Prototype  or Salem Ultra 100 among rep mentol ultra smokers?,['Ultra KS Prototype']
train_63,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_63.jpg,"KOOL ""C"" With Conventional Filter Will Be Adopted Based On The Acceptability Of The?","['The Kool LTS KS CPT results', 'KOOL LTS KS CPT Results']"
train_64,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_64.jpg,What is the 9 digits number mentioned on the left margin?,['399000387']
train_65,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_65.jpg,What is the first line of the address mentioned at the top?,['Reynolds Building']
train_66,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_66.jpg,What is the date mentioned?,"['May 4, 2000']"
train_67,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_67.jpg,To whom is this letter addressed?,['W.E.Claflin']
train_68,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_68.jpg,What is the date mentioned?,"['June 19, 1990']"
train_69,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_69.jpg,What is the subject of the document?,['Modifications to Eight-Port Sidestream Instrument']
train_70,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_70.jpg,What is the date mentioned in the document ?,"['June 19, 1990']"
train_71,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_71.jpg,How many samples were produced?,"['Over 300', '300']"
train_72,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_72.jpg,What is the third point mentioned in Project Basis Technologies?,['Increased Humectants']
train_73,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_73.jpg,What is the 9 digits number mentioned on the left border at the bottom?,['399000380']
train_74,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_74.jpg,"When was the KOOL ""C"" With 0.51% Menthol Implemented?","['1993', 'in 1993']"
train_75,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_75.jpg,What is the 9 digits number mentioned on the left margin?,['399000381']
train_76,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_76.jpg,"What is the STRAIN TA100,REV/CIG of G7-25 with 1.0% turkish extract?",['12621']
train_77,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_77.jpg,What is the date mentioned?,"['May 29, 1990']"
train_78,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_78.jpg,To whom is this letter addressed?,['R.Ferguson']
train_79,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_79.jpg,What is the subject of the document?,"['EPA/AWMA International Symposium, 1990']"
train_80,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_80.jpg,"What is the 10 digits number mentioned in bold on the right margin, at the bottom?",['2022155944']
train_81,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_81.jpg,How many months have the data given here been extracted?,"['12', '12-month', '12 months', '12-Month Data']"
train_82,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_82.jpg,What is the Retention of Franchise?,"['79.2%', '79.2%    (98)']"
train_83,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_83.jpg,What is the Index of Single Brand Users in the Franchise?,"['119', '(119)']"
train_84,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_84.jpg,What is the share of the 21-25 segment mentioned?,"['0.5%', '0.5%     (50)']"
train_85,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_85.jpg,"When was the KOOL ""C"" With 0.63% Menthol Implemented?",['April 1995']
train_86,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_86.jpg,Whose assistance will be provided in the manufacture of these tobacco products?,"['R&D Assistance', 'R&D assistance', 'R&D']"
train_87,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_87.jpg,Where can be the labels used to identify these tobaccos obtained?,"['Wayne Sanders, Macon Q.A.']"
train_88,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_88.jpg,what is the CGR for the age group 21-25?,['-0.68%']
train_89,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_89.jpg,which age group is having the highest estimated growth rate or CGR?,['51+']
train_90,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_90.jpg,which age group is having the lowest estimated growth rate or CGR?,['26-35']
train_91,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_91.jpg,Between which years estimated growth rates have been taken?                          ?\,['1995-2000']
train_92,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_92.jpg,which brands did camel exotic blends compliment?,"[""the brand's Turkish and Domestic blend with rare tobaccos and flavorful spices"", 'Turkish and domestic blend .']"
train_93,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_93.jpg,what does camel crema deliver?,['a creamy indulgent flavor that offers an intriguing and pleasurable smoking experience.']
train_94,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_94.jpg,How are speciality blends packed?,"['stylish tins with graphics', 'In stylish tins with graphics']"
train_95,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_95.jpg,What is the date mentioned?,"['September 20, 1985']"
train_96,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_96.jpg,To whom is this letter addressed?,"['Ms. Goldstein', 'Ms. Linda Goldstein']"
train_97,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_97.jpg,The amounts of which elements depend on the local water supply?,"['Sodium, Potassium and Calcium', 'sodium, potassium and calcium']"
train_98,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_98.jpg,Where does the complete listing of ingredients in Pepsi products appear?,['on each package.']
train_99,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_99.jpg,What is the word written in bold black in the first picture?,"['Coke', 'Coke ®']"
train_100,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_100.jpg,What is the name of the beverages company?,"['Shasta', 'Shasta beverages', 'Shasta BEVERAGES', 'Shasta Beverages']"
train_101,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_101.jpg,Which is the new second generation high fructose syrup?,"['FRUCTOSE 55', 'F R U C T O S E  5 5']"
train_102,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_102.jpg,What is the DEXTROSE (GLUCOSE) level?,"['42', '42%']"
train_103,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_103.jpg,What is the date mentioned in the header of the document?,['10/19/2016']
train_104,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_104.jpg,Coca-Cola targeted how many Connecticut legislative proposals for taxes on beverages?,['two']
train_105,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_105.jpg,What is the Commission File No.?,"['001-02217', 'Commission File No. 001-02217']"
train_106,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_106.jpg,What is the name of the place the UNITED STATES SECURITIES AND EXCHANGE COMMISSION is from?,"['Washington, d.c.', 'Washington, D.C.', 'Washington', 'Washington, D.C. 20549']"
train_107,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_107.jpg,What is the COMMON STOCK PAR VALUE?,['$0.25']
train_108,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_108.jpg,Where is One Coca-Cola Plaza located?,"['Atlanta, georgia', 'Atlanta, Georgia']"
train_109,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_109.jpg,In which year manufacture of carbonated water began ?,['1772']
train_110,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_110.jpg,In how many countries coca-cola markets its products?,['more than 155 countries']
train_111,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_111.jpg,What does the carbon dioxide  produce in soft drinks ?,"['produces the distinctive ""sparkling"" quality and that ""bubbling"" effect as the drink is poured from the container.']"
train_112,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_112.jpg,Which company's consumer information center is given here?,['Coca-Cola USA']
train_113,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_113.jpg,What is the  average U.S per capita consumption of soft drinks based on national sales estimates?,['is approximately two and one-half six-ounce servings.']
train_114,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_114.jpg,what the contact number of  consumer information centre?,"['1-800-438-2653', '(1-800-438-2653)']"
train_115,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_115.jpg,what is the gross profit in the year 2009?,"['19,902', '19,902 millions']"
train_116,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_116.jpg,what is the income before income tax for  the year 2007?,"['7,919', '7919', '7,919 millions']"
train_117,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_117.jpg,what is the basic net income per share for 2009 vs 2008,['18%']
train_118,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_118.jpg,what is the consolidated net income in the year 2008,"['5,874', '5,784 millions']"
train_119,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_119.jpg,what is the operating margin in the year 2009,['26.6%']
train_120,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_120.jpg,"To whom, the letter is addressed?","['Mr. W. Thomas', 'Mr . Thomas:']"
train_121,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_121.jpg,Who is the consumer correspondence of coca cola USA?,['kimberly boyer']
train_122,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_122.jpg,What is the date mentioned in the letter?,"['March 4, 1991']"
train_123,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_123.jpg,Who is this letter sent to ?,"['Ms. Bonnie Liebman', 'Ms. Liebman', 'Ms.Liebman']"
train_124,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_124.jpg,who is the vice president of shasta beverages?,['Cecil B. Lowry']
train_125,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_125.jpg,What is the date mentioned in this letter?,"['January 14, 1980']"
train_126,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_126.jpg,Who has written the comments?,"['Michael f. brown and richard l. frank', 'Michael F. Brown and Richard L. Frank']"
train_127,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_127.jpg,What is the date mentioned in the document?,"['July 17 , 1978']"
train_128,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_128.jpg,what does the phosphoric acid contain ?,['mineral phosphorous']
train_129,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_129.jpg,how many milligrams americans consume phosphorus per day,['1200-1600 milligrams']
train_130,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_130.jpg,What is the date mentioned in the document?,"['JUNE 9, 1978']"
train_131,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_131.jpg,which country is benefited from the successful integration of jugos de valle?,['Latin America']
train_132,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_132.jpg,What is the increase in net operating revenues as part of favorable impact of currency fluctuations?,['by approximately 2 percent.']
train_133,https://raw.githubusercontent.com/NSTiwari/Fine-tune-IDEFICS-Vision-Language-Model/main/dataset/train/images/train_133.jpg,Which financial year's net operating revenues are compared?,"['Year ended December 31, 2009, versus Year Ended December 31, 2008']"
