id,query,answers
train_48,"When the cigarette was smoked into the filter, what had 5% flare-up while the low silicate ink tipping had 1% flare-up?","['the standard Ink tipping', 'standard ink tipping']"
train_49,Which inks give significantly lower filter flare-up rates?,['low silicate inks']
train_50,What is the 10 digits number written bold on the paper?,['2022155810']
train_51,What is the name of the tobacco company?,"['RJ Reynolds', 'RJREYNOLDS tobacco company', 'R J Reynolds', 'R J Reynolds tobacco company', 'RJ REYNOLDS']"
train_52,who is this Interoffice Memorandum addressed to?,['J. D. Phillips']
train_53,What is the date mentioned?,"['June 18, 1992']"
train_54,What is the name of the company?,['B&W']
train_55,What is the share of the 21-25 segment mentioned?,['0%']
train_56,What is the index value for Retention of Franchise ?,"['(100)', '100']"
train_57,What is the subject of the email?,['TAR/NICOTINE DELIVERIES']
train_58,"What is the name of the person in the ""FROM"" field?",['J. T. WINEBRENNER']
train_59,What is the 9 digits number mentioned in bold?,['584100575']
train_60,Cig. Code 498062 and B&W 6SE  is mentioned in which RIP?,['RIP-4']
train_61,What is the title of the document?,['KOOL ULTRA KS / 100']
train_62,Which is more superior out of Ultra KS Prototype  or Salem Ultra 100 among rep mentol ultra smokers?,['Ultra KS Prototype']
train_63,"KOOL ""C"" With Conventional Filter Will Be Adopted Based On The Acceptability Of The?","['The Kool LTS KS CPT results', 'KOOL LTS KS CPT Results']"
train_64,What is the 9 digits number mentioned on the left margin?,['399000387']
train_65,What is the first line of the address mentioned at the top?,['Reynolds Building']
train_66,What is the date mentioned?,"['May 4, 2000']"
train_67,To whom is this letter addressed?,['W.E.Claflin']
train_68,What is the date mentioned?,"['June 19, 1990']"
train_69,What is the subject of the document?,['Modifications to Eight-Port Sidestream Instrument']
train_70,What is the date mentioned in the document ?,"['June 19, 1990']"
train_71,How many samples were produced?,"['Over 300', '300']"
train_72,What is the third point mentioned in Project Basis Technologies?,['Increased Humectants']
train_73,What is the 9 digits number mentioned on the left border at the bottom?,['399000380']
train_74,"When was the KOOL ""C"" With 0.51% Menthol Implemented?","['1993', 'in 1993']"
train_75,What is the 9 digits number mentioned on the left margin?,['399000381']
train_76,"What is the STRAIN TA100,REV/CIG of G7-25 with 1.0% turkish extract?",['12621']
train_77,What is the date mentioned?,"['May 29, 1990']"
train_78,To whom is this letter addressed?,['R.Ferguson']
train_79,What is the subject of the document?,"['EPA/AWMA International Symposium, 1990']"
train_80,"What is the 10 digits number mentioned in bold on the right margin, at the bottom?",['2022155944']
train_81,How many months have the data given here been extracted?,"['12', '12-month', '12 months', '12-Month Data']"
train_82,What is the Retention of Franchise?,"['79.2%', '79.2%    (98)']"
train_83,What is the Index of Single Brand Users in the Franchise?,"['119', '(119)']"
train_84,What is the share of the 21-25 segment mentioned?,"['0.5%', '0.5%     (50)']"
train_85,"When was the KOOL ""C"" With 0.63% Menthol Implemented?",['April 1995']
train_86,Whose assistance will be provided in the manufacture of these tobacco products?,"['R&D Assistance', 'R&D assistance', 'R&D']"
train_87,Where can be the labels used to identify these tobaccos obtained?,"['Wayne Sanders, Macon Q.A.']"
train_88,what is the CGR for the age group 21-25?,['-0.68%']
train_89,which age group is having the highest estimated growth rate or CGR?,['51+']
train_90,which age group is having the lowest estimated growth rate or CGR?,['26-35']
train_91,Between which years estimated growth rates have been taken?                          ?\,['1995-2000']
train_92,which brands did camel exotic blends compliment?,"[""the brand's Turkish and Domestic blend with rare tobaccos and flavorful spices"", 'Turkish and domestic blend .']"
train_93,what does camel crema deliver?,['a creamy indulgent flavor that offers an intriguing and pleasurable smoking experience.']
train_94,How are speciality blends packed?,"['stylish tins with graphics', 'In stylish tins with graphics']"
train_95,What is the date mentioned?,"['September 20, 1985']"
train_96,To whom is this letter addressed?,"['Ms. Goldstein', 'Ms. Linda Goldstein']"
train_97,The amounts of which elements depend on the local water supply?,"['Sodium, Potassium and Calcium', 'sodium, potassium and calcium']"
train_98,Where does the complete listing of ingredients in Pepsi products appear?,['on each package.']
train_99,What is the word written in bold black in the first picture?,"['Coke', 'Coke ®']"
train_100,What is the name of the beverages company?,"['Shasta', 'Shasta beverages', 'Shasta BEVERAGES', 'Shasta Beverages']"
train_101,Which is the new second generation high fructose syrup?,"['FRUCTOSE 55', 'F R U C T O S E  5 5']"
train_102,What is the DEXTROSE (GLUCOSE) level?,"['42', '42%']"
train_103,What is the date mentioned in the header of the document?,['10/19/2016']
train_104,Coca-Cola targeted how many Connecticut legislative proposals for taxes on beverages?,['two']
train_105,What is the Commission File No.?,"['001-02217', 'Commission File No. 001-02217']"
train_106,What is the name of the place the UNITED STATES SECURITIES AND EXCHANGE COMMISSION is from?,"['Washington, d.c.', 'Washington, D.C.', 'Washington', 'Washington, D.C. 20549']"
train_107,What is the COMMON STOCK PAR VALUE?,['$0.25']
train_108,Where is One Coca-Cola Plaza located?,"['Atlanta, georgia', 'Atlanta, Georgia']"
train_109,In which year manufacture of carbonated water began ?,['1772']
train_110,In how many countries coca-cola markets its products?,['more than 155 countries']
train_111,What does the carbon dioxide  produce in soft drinks ?,"['produces the distinctive ""sparkling"" quality and that ""bubbling"" effect as the drink is poured from the container.']"
train_112,Which company's consumer information center is given here?,['Coca-Cola USA']
train_113,What is the  average U.S per capita consumption of soft drinks based on national sales estimates?,['is approximately two and one-half six-ounce servings.']
train_114,what the contact number of  consumer information centre?,"['1-800-438-2653', '(1-800-438-2653)']"
train_115,what is the gross profit in the year 2009?,"['19,902', '19,902 millions']"
train_116,what is the income before income tax for  the year 2007?,"['7,919', '7919', '7,919 millions']"
train_117,what is the basic net income per share for 2009 vs 2008,['18%']
train_118,what is the consolidated net income in the year 2008,"['5,874', '5,784 millions']"
train_119,what is the operating margin in the year 2009,['26.6%']
train_120,"To whom, the letter is addressed?","['Mr. W. Thomas', 'Mr . Thomas:']"
train_121,Who is the consumer correspondence of coca cola USA?,['kimberly boyer']
train_122,What is the date mentioned in the letter?,"['March 4, 1991']"
train_123,Who is this letter sent to ?,"['Ms. Bonnie Liebman', 'Ms. Liebman', 'Ms.Liebman']"
train_124,who is the vice president of shasta beverages?,['Cecil B. Lowry']
train_125,What is the date mentioned in this letter?,"['January 14, 1980']"
train_126,Who has written the comments?,"['Michael f. brown and richard l. frank', 'Michael F. Brown and Richard L. Frank']"
train_127,What is the date mentioned in the document?,"['July 17 , 1978']"
train_128,what does the phosphoric acid contain ?,['mineral phosphorous']
train_129,how many milligrams americans consume phosphorus per day,['1200-1600 milligrams']
train_130,What is the date mentioned in the document?,"['JUNE 9, 1978']"
train_131,which country is benefited from the successful integration of jugos de valle?,['Latin America']
train_132,What is the increase in net operating revenues as part of favorable impact of currency fluctuations?,['by approximately 2 percent.']
train_133,Which financial year's net operating revenues are compared?,"['Year ended December 31, 2009, versus Year Ended December 31, 2008']"
train_134,In which country is the consumer information centre located?,"['Atlanta, Georgia 30301', 'Georgia']"
train_135,Which acid do the coca-cola company use to provide a pleasant tartness?,['phosphoric acid']
train_136,what has been playing a significant role in soft drink industry?,"['High Fructose corn sweeteners', 'high fructose corn sweeteners']"
train_137,what is the percentage reduction in calories in the fructose sweetened soft drinks?,['10-12%']
train_138,What is the average calories decreased over the past decade in the United States?,['11%']
train_139,In which year diet coke was introduced in United States?,['1982']
train_140,what is the name of the food institute?,"['American Frozen food Institute', 'THE AMERICAN FROZEN FOOD INSTITUTE', 'AFFI']"
train_141,How many members are included in the frozen food institute?,"['more than 400', 'more than 400 members']"
train_142,AFFI stands for ?,"['American Frozen Food Institute', 'American frozen food institute']"
train_143,This statement or comments is submitted on behalf of?,"['The American Frozen food institute', 'The American Frozen food institute (""AFFI"")', 'AFFI']"
train_144,where does the high fructose corn will come from ?,"['major corn refiners in the midwest', 'from major corn refiners in the Midwest', 'major corn refiners in the midwest.']"
train_145,for foreseeable future what will be our only nutritive sweetener?,"['Fructose', 'fructose']"
train_146,What stops companies like coke and pepsi from using fructose widely?,"['Franchise bottler system', 'franchise bottler system']"
train_147,this letter was written to whom?,"['Michael Jacobson', 'Michael jacobson']"
train_148,On  which date was  this letter was written,"['17 March 1975', '17 march 1975']"
train_149,who is the editor who signed this letter?,['Bill Wolf']
train_150,For what price is the film kit plus teacher's guide available?,['is available for $3.50.']
train_151,The story is designed to interest whom?,['middle elementary school level children and older']
train_152,Heading of the document?,['The start of a fine home library']
train_153,What is the price of the token?,"['$1 each', '$1']"
train_154,How many pages does the volume contain?,"['1300-page', '1300']"
train_155,How many stories are present in The works of Kipling?,['139 stories']
train_156,What is the name of the company?,"['The Coca-Cola company', 'The Coca-Cola Company']"
train_157,What are critical for well-being of people today?,"['Nutritious food, balanced diets']"
train_158,Where was the meeting held?,['Atlanta']
train_159,When will the announcement be held?,['Tuesday']
train_160,What is the DOCKET NO?,['8839']
train_161,When was this document issued?,"['October 5, 1973']"
train_162,"who is the chairman of the council on children, media and merchandising?",['Robert Choate']
train_163,What is the name of the office mentioned in the letter?,['Freedom of information office']
train_164,who has signed the letter?,['Bonnie Liebman']
train_165,what is the heading of the document?,"['Nutrition action', 'Nutrition Action']"
train_166,By whom  a great deal of advertising is produced locally?,"['bottlers,', 'bottlers']"
train_167,who began voluntarily listing Yello #5 on its labels well before the FDA required,"['Pepsi-Cola Company', 'pepsi-cola company']"
train_168,artificial colour only fulfils whose labelling requirements,['federal labeling requirements']
train_169,what was removed from the diets of hyperactive children as part of the study?,['food coloring']
train_170,What is the specialization  of international litigation services?,['international cases and foreign language document processing']
train_171,when is this executed on,['27th day of August 2013']
train_172,who is the managing director of international litigation services,['Joseph Thorpe']
train_173,who conducted pivotal studies,['Takeda']
train_174,"What findings are not duplicated in mouse, monkey, or dog?","['Rat Findings', 'Rat']"
train_175,quantity of the product code 15102,['1']
train_176,what are the greatest sources of caffeine?,"['coffee, tea and chocolate.', 'coffee, tea and chocolate']"
train_177,"In which year did American Council on Science and Health , published ""the health effects of caffeine""?",['1983']
train_178,What add little to the average total intake of caffeine?,['soft drinks']
train_179,what produces a number of caffeine free soft drink for those who prefer no caffeine in their diets?,"['Pepsi-Cola', 'pepsi-cola']"
train_180,whose signature at the bottom of page ?,"['Alexander Grant', 'alexander grant']"
train_181,what is the date mentioned at the top of the page?,"['November 14, 1986']"
train_182,who is the consumer correspondent?,"['Anita Pancotto', 'anita pancotto']"
train_183,Who is this letter sent to?,"['Mr. Alm', 'Mr. John R. Alm']"
train_184,what is the designation of Mr.john r alm?,"['President and Chief Operating Officer', 'president and chief operating officer']"
train_185,what is the president's healthierUS goal ?,"['helping americans live longer, better and healthier lives.']"
train_186,what is the reason to applaud Alm?,['personal commitment to helping the children of los angeles build bright futures through camp paintrock']
train_187,what happens if i sip on my coke while i sing my song according to letter?,['it cools my throat']
train_188,What is the letter dated?,"['November 1, 1972', 'November 1 ,  1972']"
train_189,What is the designation of the sender in this letter?,"['public relations assistant', 'Public Relations Assistant']"
train_190,Who is this letter addressed to?,"['Ms. Catherine Lerza', 'Ms. Lerza']"
train_191,what was the company's first protein containing beverage?,"['Saci', 'saci']"
train_192,what is the page number mentioned in this letter?,['-3-']
train_193,who is the senior vice president ?,['Alan L. Hoffman']
train_194,What kind of study is mentioned in this letter?,"['Study on soft drinks', 'the study on soft drinks.']"
train_195,what is the date mentioned in the letter?,"['April 15,2014', 'April 15, 2014']"
train_196,who is the executive director?,"['Mr. Michael jacobson', 'mr. Michael jacobson']"
train_197,where is Alan L.hoffan working ?,['global public policy and government affairs']
train_198,What is the date mentioned on the top of the letter ?,"['July 29, 1972']"
train_199,In how many countries global company is operating ?,['more than 220']
train_200,What is the date of this letter?,"['July 29, 1972', 'July 29,  1972']"
train_201,who is the president and chief operating officer?,"['John R. Alm', 'John R Alm']"
train_202,what is the 2nd point inthe letter ?,['Reaffirm our decades-old strict policy and guidelines regarding the marketing and advertising of our brands to children.']
train_203,What sort of document series does it covers ?,"['Soft Drink Ingredient Series', 'Ingredient Series']"
train_204,What is the title of the series?,['SOFT DRINKS AND CAFFEINE']
train_205,What is the title of the document?,['SOFT DRINKS AND CAFFEINE']
train_206,What is the fullform of ils?,"['international litigation services', 'INTERNATIONAL LITIGATION SERVICES']"
train_207,What type of certification is mentioned in this document?,['CERTIFICATION OF TRANSLATION']
train_208,"Who is the Managing Director of International Litigation Services, Inc?","['joseph thorpe', 'Joseph Thorpe']"
train_209,what is the heading of the document of the document,"['memorandum of meeting', 'Memorandum of Meeting']"
train_210,What is the subject of document?,"['labeling', 'Labeling']"
train_211,Who seems to be following America's footsteps?,['Japan']
train_212,What is the Telephone Number given?,['301/436-2373']
train_213,What is the full form of CFSAN?,['Center for Food Safety and Applied Nutrition']
train_214,Which department is mentioned in the letter head?,['DEPARTMENT OF HEALTH & HUMAN SERVICES']
train_215,Who is the President of Corn Refiners Association?,['Audrae Erickson']
train_216,When was this letter received?,['07-03-2008']
train_217,What is the date mentioned in the letter?,"['July 28, 1972']"
train_218,What are the scheduled public gatherings on?,"['food labeling', 'on food labeling']"
train_219,How much percent of consumers reads labels?,"['20%', '20', '20 percent']"
train_220,What is the heading of the document?,"['memorandum of meeting', 'Memorandum of Meeting']"
train_221,what is the main ingredient of soft drink?,"['Carbonated Water', 'Carbonated water']"
train_222,What is are the words written in bold in second paragraph?,['Caffeine and Other Alleged Health Related Effects']
train_223,Which university does the sixth reference mention?,['University of Florida']
train_224,Which year is mentioned in the first reference?,['1983']
train_225,who is marketing director?,"['Robert l. goldsmith', 'Robert L. Goldsmith']"
train_226,What is the docket No?,['78N-0158']
train_227,What is the date mentioned on the document?,"['January 29, 2016']"
train_228,What is the date in document?,"['September 27, 1978']"
train_229,With whom is the meeting being conducted?,"['Sandy Douglas', 'Sandy Douglas, Coca-Cola Co.']"
train_230,what is the title of the page?,['historical background']
train_231,What is the date mentioned in the header of the document?,"['January 29, 2016']"
train_232,what are the common sources of caffeine consumed by humans?,"['coffee beans, tea leaves, kola nuts and cocoa beans']"
train_233,What is the name of the person mentioned to Contact?,"['Carlton Curtis', 'Carlton']"
train_234,Which year is COCA-COLA beginning with a new taste?,"['100th year', 'its 100th year', '100']"
train_235,What is the date mentioned?,"['April 23, 1985']"
train_236,what is widely distributed naturally occuring substance found in more than 60 plant species throughout he world?,['caffeine']
train_237,"Who said, ""The best has been made even better""?","['Roberto C. Goizueta, chairman of the Board and Chief executive officer of The Coca-Cola Company', 'Roberto C. Goizueta', 'Mr. Goizueta']"
train_238,H ow many years of advertising is mentioned?,"['95', '95 years']"
train_239,What is the date mentioned?,"['Feb. 4, 1982', 'Feb 4, 1982']"
train_240,who is traditionally  attributed to legendary for the first written mention of a coffee containing beverage tea?,"['Chinese emperor Shen nung', 'chinese emperor shen nung', 'Shen nung']"
train_241,Whose name is mentioned to  Contact?,"['Tony tortorici', 'Tony Tortorici']"
train_242,who is the managing director of international litigation services ?,['Joseph Thorpe']
train_243,What is the heading of the document?,['Response Document']
train_244,What are the renal effects mentioned?,"['urine electrolytes, osmolality, pH', '(urine electrolytes, osmolality, pH)']"
train_245,who were treated to a sweetened chocolate drink by aztec emporer montezuma?,"['spanish conquerors', 'the Spanish conquerors']"
train_246,When it executed?,['28th day of August 2013']
train_247,Where was the translation executed at?,"['In aliso Viejo, california', 'Aliso Viejo, California']"
train_248,From whom has this email been sent?,['Kanayama Kiyoshi']
train_249,Who are on the CC list?,"['Shephard, Kirk (TPI); Fuse, Touichirou (TPC)']"
train_250,What is the email ID of Kanayama Kiyoshi?,['Kanayama_Kiyoshi@takeda.co.jp']
train_251,What is the subject of this email?,['Re: Potential Publicaton in Correspondence Section of The Lancet']
train_252,"What is the level of importance of the email send by Witte, Kimberly?",['High']
train_253,What is the EXHIBIT number mentioned?,['9']
train_254,What is the exhibit no given in the document?,['9']
train_255,Who is this Memo to?,"['distribution', 'Distribution']"
train_256,who are in the cc?,"['johnston,Kendra; precurato-grubb, marti']"
train_257,Who is the 23rd Addressee mentioned in the list?,"['Senior Vice President, Accounting Center']"
train_258,Heading of the document?,"['Draft Agenda', 'Draft Agenda?']"
train_259,What are the timings for Continental Breakfast?,['8:00-9:00']
train_260,"what is the ""subject"" of this letter?","[""article in today's USA Today regarding Avandia hearing""]"
train_261,when was this letter sent?,"['7/31/2007 11:48:09 AM', '7/31/2007 11:48:09 am']"
train_262,who is the premier sales representative ?,"['gigi m. chen, MBA', 'gigi m.chen']"
train_263,what is the title of this page?,"['Executive Summary, cont.', 'executive summary, cont.']"
train_264,Heading of the document?,"['response document', 'Response Document']"
train_265,"what is the first point under the title-executive summary, cont.","['Proposed experiments', 'proposed experiments']"
train_266,What is the full form of FDA?,['Food and Drug Administration']
train_267,What is the date mentioned?,"['January 3, 2003']"
train_268,who is writing this letter?,"['Marlene Dubas', 'marlene dubas']"
train_269,who is in the cc?,"['Tom Muldoon', 'tom muldoon']"
train_270,Who is the sender of this fax?,['Jena Weber']
train_271,What is the total no of pages in the fax including cover?,['1']
train_272,Which all  compaies are added as defendants in a lawsuit?,"['Takeda Pharmaceuticals North America, Inc. and Takeda Pharmaceuticals America, Inc.']"
train_273,what is 'RE' in the letter?,"['Preservation of Documents and Electronic Data relating to Actos', 'preservation of documents and electronic data relating to actos']"
train_274,Heading of the first paragraph?,['SIXTH OBJECTION']
train_275,Name of the judge?,['Patrick Hanna']
train_276,What is the page no mentioned in this document?,['3']
train_277,When was the hearing before Judge?,"['July 25, 2013']"
train_278,What is the date mentioned?,"['January 14, 1999']"
train_279,What is the name of the company mentioned in the letterhead?,['DEPARTMENT OF HEALTH & HUMAN SERVICES']
train_280,What is the company name ?,['ELI LILLY AND COMPANY']
train_281,What is the fullform of NDA?,"['new drug application', 'New drug application.']"
train_282,What is the date mentioned?,"['August 16, 1999']"
train_283,What is the name of the addressee?,"['Ms. Pritza', 'Mary Jo Pritza, MPH, PharmD']"
train_284,To whom is this letter addressed?,"['Alan D. Mackenzie', 'Alan']"
train_285,What is the full form of TPA?,"['Takeda Pharmaceuticals America, Inc.', 'Takeda Pharmaceuticals America Inc.', 'Takeda Pharmaceuticals America']"
train_286,What kind of a letter is  this ?,['DISCIPLINE REVIEW LETTER']
train_287,Which two companies have agreed to amend the Co-Promotion Agreement?,"['Takeda Pharmaceuticals America, Inc. (""TPA"") and Eli Lilly and Company (""Lilly"")']"
train_288,What is the name of the company?,['THE UPJOHN COMPANY']
train_289,What is the date mentioned?,"['September 21, 1993']"
train_290,To whom is this letter addressed?,"['Tai Matsuzawa, Ph.D.', 'Doctor Matsuzawa', 'Tai Matsuzawa, Ph.D', 'Matsuzawa']"
train_291,As a consequence of the decision Upjohn must decline participation with which company?,['Takeda']
train_292,A 79-year-old female was enrolled in the study for how many days?,['200 days']
train_293,The patient had a history of bladder cancer since when?,"['1996', 'since 1996']"
train_294,"Who is the general manager of International development Dept. of Takeda Chemical Industires, Ltd.?","['K. Kitazawa, Ph. D.']"
train_295,Who is the writer of the document?,['Janet L. Haskins']
train_296,The woman had a positive history of what?,['tobacco use']
train_297,what is the name of the industry ?,"['TAKEDA CHEMICAL INDUSTRIES, LTD.', 'TAKEDA CHEMICAL INDUSTRIES , LTD .']"
train_298,How many pages are there in total?,"['2', 'Page 2 of 2']"
train_299,"what is the month and date mentioned in this letter, at the top ?","['October 25', 'october 25']"
train_300,By whom is this document written?,['Stacey Dixon Calahan']
train_301,What is the date mentioned?,"['January 21, 1999']"
train_302,To whom is this document addressed?,"['Mr. Larry Ellingson', 'Mr. Ellingson']"
train_303,to which department it belongs to ?,"['DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'department of health and human services.']"
train_304,By whom is this document written?,['Kunio Iwatani']
train_305,what is the date of submission?,['11/18/2002']
train_306,what is the telephone number (include area code)?,['847-383-3739']
train_307,what is the expiration date ?,"['November 30, 2002', 'november 30, 2002']"
train_308,what is  the name of the sponsor ?,"['Takeda Pharmaceuticals North America, Inc.', 'Takeda Pharmaceuticals North america , Inc.']"
train_309,what has to be investigated before starting pioglitazone therapy?,['any macroscopic haematuria']
train_310,what has been experienced commonly in patients taking actos in combination with insulin?,"['Heart failure', 'heart failure']"
train_311,Which foundation is mentioned in this document?,"['Cleveland Clinic Foundation', 'The Cleveland Clinic Foundation']"
train_312,"Under which department , The Cleveland Clinic Foundation operates?","['Department of Cardiovascular Medicine', 'Department of Cardiovascular Medicine.']"
train_313,What is written in big bold letters at the bottom?,['DALY 19']
train_314,Which medicine is used to treat type 2 diabetes mellitus?,['Actos/Competact']
train_315,How many cases of bladder cancer from 12506 patients were reported?,['19 cases']
train_316,What is the PO Box number?,['931535']
train_317,what is the IND mumber (if previously assigned ) ?,"['33,729']"
train_318,what is the date of submission ?,['11/1/02']
train_319,"what is the Name(s) of drug (include all available names: Trade , Generic, Chemical, Code)?","['ACTOS (pioglitazone HCI)', 'ACTOS  (Pioglitazone HCI)']"
train_320,What is the Tax ID mentioned in this document?,['34-0714585']
train_321,what is the form approved : OMB No,"['0910-0014', '0910-0014.']"
train_322,What is the word written in bold on the top of the document?,['Takeda']
train_323,What is the date mentioned?,['19th January 2012']
train_324,what is the name of pharmaceuticals ?,"['Takeda Pharmaceuticals North America, Inc.', 'TAkeda pharmaceuticals North America ,INc.']"
train_325,to whom this letter is written ?,"['Janet L. Haskins', 'janet L. haskins', 'Ms. Haskins']"
train_326,When did Regulatory affairs department receive this letter?,['JUN 16 2003']
train_327,To whom was this letter written?,['Healthcare Professional']
train_328,What is the fifth point?,"['WAC and AWP generally;', 'WAC AND AWP generally;']"
train_329,Education grants regarding which products?,"['TPNA', 'TPNA products']"
train_330,What is the date this document was last printed?,"['11/30/2012', '11/30/2012 4:28:00 AM']"
train_331,To whom a copy of cover letter has to be sent ?,['Ms. Jens Weber']
train_332,Which reimbursement for TPNA pharmaceutical products is generally given?,['Medicare and Medicaid']
train_333,"What is the designation of Alfonso T. Perez, M.D.?","['Vice President, Clinical Research']"
train_334,By whom was this agreement Agreed and Accepted?,"['Richard A. Rudick, M.D.', 'Richard A. Rudick, M.D. Chairman, Division of Clinical Research', 'Richard A. Rudick']"
train_335,What is the full form of FAR?,['Federal Acquisitions Regulation']
train_336,What is the number written above TAK-INDNDA-01577086?,['425']
train_337,"What is the contact number of Ms. Jena Weber, Regulatory Project Manager?",['301-827-6422']
train_338,What is the full form of ODE?,['Office of Drug Evaluation']
train_339,What is written above Page 2 on the top?,"['IND 33, 729']"
train_340,what is the unit mentioned in the letter ?,['7200']
train_341,Name of the first person in the To list?,"['PJ Daniels', 'pj Daniels']"
train_342,from whose desk this letter is  written ?,"['Timothy J. Gumbleton', 'timothy J Gumbleton']"
train_343,Whose letter's copy is attached?,"['DR. Mitchell', 'Dr. Mitchell']"
train_344,what is the date mentioned ?,"['February 6, 1996', 'february 6 , 1996']"
train_345,to whom this letter is written  ?,"['Dr. K. KItazawa', 'Dr . k. Kitazawa']"
train_346,this letter is written by whom ?,"['T. Suzuki', 'Tsuyoshi Suzuki , M S .']"
train_347,Which laboratory is T. Suzuki associated with ?,"['Drug Safety Research Laboratories', 'drug safety research laboratories .']"
train_348,what is the date mentioned in  the letter,"['August 8, 2002', 'august 8 , 2002']"
train_349,What is the name of the industry given here?,"['Takeda chemical industries, LTD .', 'TAKEDA CHEMICAL INDUSTRIES, LTD.']"
train_350,to whom this letter is written ?,"['Dr. Claire Thom', 'Dr. Thom']"
train_351,what is the name mentioned in CC,"['Mr. S. Hamanaka', 'Mr . S . Hamanaka']"
train_352,Who sent this letter?,"['Katsuhisa Saito', 'katsuhisa saito']"
train_353,what is Ref: code  mentioned ?,['TPNA-TS-020808']
train_354,What is the venue mentioned in the document?,"['TPNA, Chicago']"
train_355,What is the date mentioned in the document?,"['Monday, 12 and Tuesday, 13 August 2002']"
